id,name,maintenance_responsibility,installed,material,length,number_of_steps,schools_count,school_score,total_population,transit_rider_count,transit_score,detour_score,overall_score,image,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
441018663,Endness from Corinth St,5th Division,1947-01-01,Concrete,263,,0,100,149,0,1,1,2,https://tools.wprdc.org/images/pittsburgh/steps/Endness_from_Corinth_St.jpg,West End,2,20,42003562600,5,20,6,1-18,40.43397849,-80.03440231
1540581502,Endness from Journal St,5th Division,1947-01-01,Concrete,207,,0,100,60,0,1,1,1,https://tools.wprdc.org/images/pittsburgh/steps/Endness_from_Journal_St.jpg,Ridgemont,2,20,42003563100,5,20,6,1-18,40.43350619,-80.03462145
1744897880,Endness St from Woodville Ave to Corinth St,5th Division,1947-01-01,Concrete,196,42,0,100,110,0,1,1,2,https://tools.wprdc.org/images/pittsburgh/steps/Endness_St_from_Woodville_Ave_to_Corinth_St.jpg,West End,2,20,42003562600,5,20,6,1-17,40.43444281,-80.0337236
943136202,Englert St from Dartmore St to Fairland St,4th Division,1948-01-01,Concrete,263,92,0,100,753,0,3,3,4,https://tools.wprdc.org/images/pittsburgh/steps/Englert_St_from_Dartmore_St_to_Fairland_St.jpg,Overbrook,4,32,42003320400,5,32,3,4-23,40.38844932,-79.99538851
1544975187,Eula St from Baytree to East St,1st Division,,Concrete,108,26,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/Eula_St_from_Baytree_to_East_St.jpg,Perry North,1,26,42003260200,1,26,1,1-15,40.48816219,-80.0135839
1347853934,Eureka St from Aleppo Way to Estella Ave,5th Division,,Concrete,106,32,0,100,1621,96,7,2,6,https://tools.wprdc.org/images/pittsburgh/steps/Eureka_St_from_Aleppo_Way_to_Estella_Ave.jpg,Mount Washington,3,18,42003180700,5,18,3,4-5,40.42374856,-80.00121019
963849386,Eureka St from Haberman Ave to Laclede St,5th Division,,Concrete,52,29,0,100,1520,40,8,7,9,https://tools.wprdc.org/images/pittsburgh/steps/Eureka_St_from_Haberman_Ave_to_Laclede_St.jpg,Mount Washington,3,18,42003180700,5,18,3,4-5,40.42388138,-80.00283174
1068718145,Eureka St from Pasadena St to Aleppo Way,5th Division,,Concrete,18,8,0,100,1545,89,10,10,10,https://tools.wprdc.org/images/pittsburgh/steps/Eureka_St_from_Pasadena_St_to_Aleppo_Way.jpg,Mount Washington,3,18,42003180700,5,18,3,4-5,40.42376512,-80.0015207
1981021307,Ewarts Way from Centre Ave to Brackenridge St,3rd Division,1947-01-01,Concrete,228,56,0,100,587,231,9,7,9,https://tools.wprdc.org/images/pittsburgh/steps/Ewarts_Way_from_Centre_Ave_to_Brackenridge_St.jpg,Terrace Village,6,5,42003051000,3,5,2,2-10,40.44575741,-79.96875223
1350974365,Exposition Way at Minnesota St,3rd Division,,Brick/Concrete,6,6,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/Exposition_Way_at_Minnesota_St.jpg,Greenfield,5,15,42003151700,3,15,4,2-12,40.42519994,-79.9392918
1604238081,Fadette St from Petty Way to Pritchard St,5th Division,,Wood,160,51,0,100,775,77,7,6,5,https://tools.wprdc.org/images/pittsburgh/steps/Fadette_St_from_Petty_Way_to_Pritchard_St.jpg,Sheraden,2,20,42003202200,5,20,6,1-16,40.45187178,-80.06523737
269508607,Fairacres Ave from Colebrook Ave to Tonopah Ave,5th Division,,Concrete,140,63,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/Fairacres_Ave_from_Colebrook_Ave_to_Tonopah_Ave.jpg,Beechview,4,19,42003192000,5,19,6,4-28,40.40792922,-80.02090358
889763940,Fairdale St from Adon St to Jean St,5th Division,1948-01-01,Concrete,328,108,1,3,491,89,5,5,5,https://tools.wprdc.org/images/pittsburgh/steps/Fairdale_St_from_Adon_St_to_Jean_St.jpg,Sheraden,2,20,42003562500,5,20,6,1-16,40.45624494,-80.05974827
2009001088,Fairview St from Furley St to Uvilla St,5th Division,1947-01-01,Concrete,324,101,1,6,799,216,8,4,9,https://tools.wprdc.org/images/pittsburgh/steps/Fairview_St_from_Furley_St_to_Uvilla_St.jpg,Elliott,2,20,42003562600,5,20,6,1-17,40.4430343,-80.03811353
331883455,Fairview St from Plover Way to Valonia St,5th Division,,Concrete,122,16,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/Fairview_St_from_Plover_Way_to_Valonia_St.jpg,Elliott,2,20,42003562600,5,20,6,1-17,40.44476249,-80.03536435
